Name,Lens,LensModel,LensInfo,LensMake,FocalLength,MaxApertureValue
Leitz Elmarit-M 1:2.8/28 3rd,Elmarit-M 1:2.8/28 3rd,28mm f/2.8 3rd,28mm f/2.8,Leitz,28,2.8
Leica Elmarit-M 1:2.8/28 ASPH,Elmarit-M 1:2.8/28 ASPH,28mm f/2.8 ASPH,28mm f/2.8,Leitz,28,2.8
Leitz Summaron 1:3.5/35,Summaron 1:3.5/35,Summaron 1:3.5/35,35mm f/3.5,Leitz,35,3.5
Leica Summilux 1:1.4/35,Summilux 1:1.4/35,Summilux 1:1.4/35,35mm f/1.4,Leitz,35,1.4
Leitz Summicron-C 1:2.0/40,Summicron-C 1:2.0/40,Summicron-C 1:2.0/40,40mm f/2.0,Leitz,40,2.0
Leitz Elmar 1:3.5/50,Elmar 1:3.5/50,Elmar 1:3.5/50,50mm f/3.5,Leitz,50,3.5
Leitz Summar 1:2.0/50,Summar 1:2.0/50,Summar 1:2.0/50,50mm f/2.0,Leitz,50,2.0
Leitz Summarit 1:2.0/50,Summarit 1:2.0/50,Summarit 1:2.0/50,50mm f/2.0,Leitz,50,2.0
Leitz Summilux 1:1.4/50,Summilux 1:1.4/50,Summilux 1:1.4/50 2nd,50mm f/1.4,Leitz,50,1.4
Leitz Summicron-M 1:2/50 3rd,Summicron-M 1:2/50 3rd,Summicron-M 1:2/50 3rd,50mm f/2.0,Leica,50,2.0
Leitz Apo-Summicron-M 1:2/50 ASPH.,Apo-Summicron-M 1:2/50 ASPH.,Apo-Summicron-M 1:2/50 ASPH.,50mm f/2.0,Leica,50,2.0
Leitz Summarit 1:2.5/90,Summarit 1:2.5/90,Summarit 1:2.5/90,50mm f/1.4,Leica,50,1.4
Light Lens Lab V3LC 1:2/35,Light Lens Lab V3LC 1:2/35,Light Lens Lab V3LC 1:2/35,Light Lens Lab,35mm f/2.0,35,2.0
Voigtlaender Nokton 1:1.4/40,Nokton 1:1.4/40,Nokton 1:1.4/40,40mm f/1.4,Voigtlander,40,1.4
Voigtlaender Color-Skopar 21mm F4P,Voigtlaender Color-Skopar 21mm F4P,Voigtlaender Color-Skopar 21mm F4P,21mm f/4,Voigtlaender,21,4
Canon 1:1.8/50,Canon 1:1.8/50,Canon 1:1.8/50,50mm f/1.8,Leitz,50,1.8
Nikkor-P.C Auto 105mm 1:2.5,Nikkor-P.C Auto 105mm 1:2.5,Nikkor-P.C Auto 105mm 1:2.5,105mm f/2.5,Nikon,105,2.5
Zoom-Nikkor 43-86mm 1:3.5,Zoom-Nikkor 43-86mm 1:3.5,Zoom-Nikkor 43-86mm 1:3.5,43-86mm f/4.5,Nikon,43-86,3.5
Leitz Focotor 1:4.5/50,Focotor 50/4.5,Focotor 50/4.5,50mm f/4.5,Leitz,50,4.5
M-Rokkor 1:2.0/40,M-Rokkor 1:2.0/40,M-Rokkor 1:2.0/40,40mm f/2.0,Minolta,40,2.0
